id,name,brand,street,place,lat,lng,city_search
51d4b6de-a095-1aa0-e100-80009459e03a,JET ESSEN OSTFELDSTR. 9,JET,OSTFELDSTR.,ESSEN,51.45772,7.0043,Essen
c7f04698-bad7-42c0-acc1-47bfc4c300ad,Shell Essen Gladbecker Str. 140,Shell,Gladbecker Str.,Essen,51.470982,7.007035,Essen
81a96696-3408-4131-8fc6-98ed2f53986f,TotalEnergies Bottrop,TotalEnergies,Prosperstr.,Bottrop,51.522187,6.98437,Essen
48e003fa-219d-4ba3-9682-2ba59675b04f,Aral Tankstelle,ARAL,Alfredstraße,Essen,51.432068,7.001987,Essen
99f6b542-6548-43fe-85ef-a172e1ce367b,Shell Duisburg Friedrich-Ebert-Str. 443,Shell,Friedrich-Ebert-Str.,Duisburg,51.541104,6.73642,Oberhausen
d3f29de5-559f-4b1d-a9c9-2e88a81d6e01,Aral Tankstelle,ARAL,Altenessener Straße,Essen,51.492367,7.009831,Essen
e454c9f8-9a30-45b1-9385-9d464e8a68df,Aral Tankstelle,ARAL,Alfredstraße,Essen,51.428574,7.000317,Essen
51d4b5a8-a095-1aa0-e100-80009459e03a,JET DUISBURG ASTERLAGERSTR. 22,JET,ASTERLAGERSTR.,DUISBURG,51.41736,6.71123,Oberhausen
26cd6fc7-fc14-443d-a9f9-f146ccd3c1a2,TotalEnergies Essen,TotalEnergies,Alfredstr.,Essen,51.421944,6.998477,Essen
59c44042-865b-4d60-8611-08fa5e118e5d,Karsten Höcker,Westfalen,Wilhelm-Tenhagen-Str.,Bottrop,51.53582,6.97908,Essen
18cb3f99-c235-4769-88e6-8ae45c8d6168,Shell Essen Von-Schmoller-Str. 1,Shell,Von-Schmoller-Str.,Essen,51.44267,7.011935,Essen
cf5c443d-acde-41cd-a129-5aac6435b216,Esso Tankstelle,ESSO,ZEUNERSTR. 2 - 4,ESSEN,51.4115852,6.992330604,Essen
005056ba-7cb6-1ed2-bceb-a6df7844cd41,star Tankstelle,STAR,Zeunerstraße,Essen,51.41181,6.992662,Essen
34fd79de-09c5-47f1-a40e-c12e394db81e,Shell Duisburg Duesseldorfer Landstr. 113,Shell,Duesseldorfer Landstr.,Duisburg,51.380885,6.759509,Oberhausen
51d4b658-a095-1aa0-e100-80009459e03a,JET DUISBURG RHEINPREUSSENSTR. 73,JET,RHEINPREUSSENSTR.,DUISBURG,51.44495,6.68652,Oberhausen
9b1adea6-77a4-cf0e-ca11-304d1a49305f,Tankstelle Duisburg,Roth- Energie,Rheinpreussenstrasse,Duisburg-Homberg,51.444603,6.686205,Oberhausen
